# File Name: Hebrew_Lexicon_Tyndale.txt
# File Size: 4349020     
# File Date: 06/01/2026 18:30:14
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Hebrew Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Abridged BDB by https://onlinebible.net, edited by Tyndale House Cambridge
# Source Definitions Copyright: Larry Pierce, larrypierce@alumni.uwaterloo.ca
# Source Definitions Copyright: Explicit usage permission required to use definition in your application
# Source Definitions Copyright: Larry Pierce granted permission for Nainoia Inc applications on 3/11/2019
#
# COLUMNS
#	STRONGS	Extended Strong Numbers
#	WORD	Hebrew form	based on BDB, then normalised
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Part of speech / grammer
#	DEF		Definitions are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
4448A		מָלַל	ma.lal	to speak	H:V	 to speak, utter, say 1a) (Qal) to speak 1b) (Piel) to say, utter Aramaic equivalent: <i>me.lal</i> (מְלַל "to speak" <a href='/Strongs/strongs-h4449' onclick='return ABMM("/Strongs","/strongs-h4449");'>h4449</a>)
4448B		מָלַל	ma.lal	to rub	H:V	rub, scrape
4449	in Aramaic of <a href='/Strongs/strongs-h4448A' onclick='return ABMM("/Strongs","/strongs-h4448A");'>h4448A</a>	מְלַל	me.lal	to speak	A:V	(Pael) to speak, say Aramaic of <i>ma.lal</i> (מָלַל "to speak" <a href='/Strongs/strongs-h4448A' onclick='return ABMM("/Strongs","/strongs-h4448A");'>h4448A</a>)
4450		מִֽלֲלַי	mi.la.lay	Milalai	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Neh.12.36; son of: Jonathan (<a href='/Strongs/strongs-h3129K' onclick='return ABMM("/Strongs","/strongs-h3129K");'>h3129K</a>); brother of: Zechariah (<a href='/Strongs/strongs-h2148Z' onclick='return ABMM("/Strongs","/strongs-h2148Z");'>h2148Z</a>), Shemaiah (<a href='/Strongs/strongs-h8098V' onclick='return ABMM("/Strongs","/strongs-h8098V");'>h8098V</a>), Azarel (<a href='/Strongs/strongs-h5832J' onclick='return ABMM("/Strongs","/strongs-h5832J");'>h5832J</a>), Gilalai (<a href='/Strongs/strongs-h1562' onclick='return ABMM("/Strongs","/strongs-h1562");'>h1562</a>), Maai (<a href='/Strongs/strongs-h4597' onclick='return ABMM("/Strongs","/strongs-h4597");'>h4597</a>), Nethanel (<a href='/Strongs/strongs-h5417P' onclick='return ABMM("/Strongs","/strongs-h5417P");'>h5417P</a>), Judah (<a href='/Strongs/strongs-h3063K' onclick='return ABMM("/Strongs","/strongs-h3063K");'>h3063K</a>) and Hanani (<a href='/Strongs/strongs-h2607K' onclick='return ABMM("/Strongs","/strongs-h2607K");'>h2607K</a>) § Milalai = "eloquent" son of the priest Jonathan and a descendant of Asaph
4451		מַלְמֵד	mal.mad	oxgoad	H:N-M	ox goad
4452		מָלַץ	ma.lats	to smooth	H:V	 to be smooth, be slippery 1a) (Niphal) to be smooth (agreeable, pleasant)
4453		מֶלְצָר	mel.tsar	`steward`	H:N-M	guardian, an officer of the court or Melzar - a man living at the time of Exile and Return, first mentioned at Dan.1.11; also translated "steward";
4454		מָלַק	ma.laq	to nip	H:V	(Qal) to nip, nip off (head of a bird)
4455A		מַלְקוֹחַ	mal.qo.ach	prey	H:N-M	booty, prey
4455B		מַלְקוֹחַ	mal.qo.ach	jaw	H:N-M	jaw
4456		מַלְקוֹשׁ	mal.qosh	spring rain	H:N-M	 latter rain, spring rain 1a) the March and April rains which mature the crops of Palestine
4457		מֶלְקָחַ֫יִם	mel.qach	tong	H:N-M	 snuffers, tongs 1a) tongs (for altar use) 1b) snuffers (for lamps in temple or tabernacle)
4458		מֶלְתָּחָה	mel.ta.chah	apparel	H:N-F	wardrobe, wearing apparel, vestment
4459	a Spelling of <a href='/Strongs/strongs-h4973' onclick='return ABMM("/Strongs","/strongs-h4973");'>h4973</a>	מַלְתָּעָה	mal.ta.ah	tooth	H:N-F	 tooth, great tooth 1a) teeth, incisors
4460		מַמְּגֻרוֹת	mam.m.gu.rah	granary	H:N-F	granary, storehouse
4461		מֵמַד	me.mad	measurement	H:N-M	measurement
4462		מְמוּכָן	me.mu.khan	Memucan	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Est.1.14 § Memucan = "dignified" one of the 7 princes of Persia in the reign of Ahasuerus
4463		מָמוֹת	ma.mot	death	H:N-M	death
4464		מַמְזֵר	mam.zer	bastard	H:N-M	 bastard, child of incest, illegitimate child 1a) bastard 1b) mixed population (fig.) 1c) born of a Jewish father and a heathen mother or visa versa
4465		מִמְכָּר	mim.kar	sale	H:N-M	sale, ware, thing sold
4466		מִמְכֶּ֫רֶת	mim.ke.ret	sale	H:N-F	sale
4467		מַמְלָכָה	mam.la.khah	kingdom	H:N-F	 kingdom, dominion, reign, sovereignty 1a) kingdom, realm 1b) sovereignty, dominion 1c) reign
4468		מַמְלָכוּת	mam.la.khut	kingdom	H:N-M	 kingdom, dominion, reign, sovereignty 1a) kingdom 1b) dominion, royal power 1c) reign
4469		מִמְסָךְ	mam.sakh	mixed drink	H:N-M	mixed drink, mixed wine, drink-offering
4470		מֶ֫מֶר	me.mer	bitterness	H:N-M	bitterness
4471G		מַמְרֵא	mam.re	Mamre	N:N--L	§ Mamre = "strength" or "fatness" an oak grove on Mamre's land in Palestine where Abraham dwelt a place near Abraham's burial place, apparently identified with Hebron
4471H		מַמְרֵא	mam.re	Mamre	N:N-M-P	A man living at the time of the Patriarchs, only mentioned at Gen.14.13; brother of: Eshcol (<a href='/Strongs/strongs-h812' onclick='return ABMM("/Strongs","/strongs-h812");'>h812</a>) and Aner (<a href='/Strongs/strongs-h6063' onclick='return ABMM("/Strongs","/strongs-h6063");'>h6063</a>) § Mamre = "strength" or "fatness" 1) an Amorite who allied himself with Abram 2) an oak grove on Mamre's land in Palestine where Abraham dwelt 3) a place near Abraham's burial place, apparently identified with Hebron
4472		מַמְרוֹר	mam.ror	bitterness	H:N-M	bitter thing, bitterness
4473		מִמְשַׁח	mim.shach	expanded	H:N-M	 anointed, expansion 1a) meaning uncertain
4474		מִמְשָׁל	mim.shal	dominion	H:N-M	 dominion, ruler 1a) dominion 1b) ruler
4475		מֶמְשָׁלָה	mem.sha.lah	dominion	H:N-F	 rule, dominion, realm 1a) rule, dominion, realm, domain 1b) rule 1c) rule, dominion (of God)
4476		מִמְשָׁק	mim.shaq	possession	H:N-M	possession, place possessed
4477		מַמְתַֿקִּים	mam.taq	sweetness	H:N-M	sweetness, sweet thing
4478A		מָן	man	manna	H:N-M	 manna 1a) the bread from Heaven that fed the Israelites for 40 years of wilderness wanderings
4478B	a Spelling of <a href='/Strongs/strongs-h4100' onclick='return ABMM("/Strongs","/strongs-h4100");'>h4100</a>	מָן	man	What?	H:Intg	'What is it?' Another spelling of <i>mah</i> (מָה "what?" <a href='/Strongs/strongs-h4100' onclick='return ABMM("/Strongs","/strongs-h4100");'>h4100</a>)
4479	in Aramaic of <a href='/Strongs/strongs-h4100' onclick='return ABMM("/Strongs","/strongs-h4100");'>h4100</a>	מָן	man	who?	A:Intg	who, what, whoever, whosoever Aramaic of <i>mah</i> (מָה "what?" <a href='/Strongs/strongs-h4100' onclick='return ABMM("/Strongs","/strongs-h4100");'>h4100</a>)
4480A		מִן־	min	from	H:Prep	prep 1) from, out of, on account of, off, on the side of, since, above, than, so that not, more than 1a) from (expressing separation), off, on the side of 1b) out of 1b1) (with verbs of proceeding, removing, expelling) 1b2) (of material from which something is made) 1b3) (of source or origin) 1c) out of, some of, from (partitively) 1d) from, since, after (of time) 1e) than, more than (in comparison) 1f) from.even to, both.and, either.or 1g) than, more than, too much for (in comparisons) 1h) from, on account of, through, because (with infinitive) conj 2) that Aramaic equivalent: <i>min</i> (מִן־ "from" <a href='/Strongs/strongs-h4481' onclick='return ABMM("/Strongs","/strongs-h4481");'>h4481</a>)
4480B		מֵן	men	portion	H:N-M	n.m. portion
4481	in Aramaic of <a href='/Strongs/strongs-h4480A' onclick='return ABMM("/Strongs","/strongs-h4480A");'>h4480A</a>	מִן־	min	from	A:Prep	 from, out of, by, by reason of, at, more than 1a) from, out of (of place) 1b) from, by, as a result of, by reason of, at, according to, (of source) 1c) from (of time) 1d) beyond, more than (in comparisons)
4482		מֵן	men	string	H:N-M	1) string (of harp) 2) (BDB) portion
4483	in Aramaic of <a href='/Strongs/strongs-h4487' onclick='return ABMM("/Strongs","/strongs-h4487");'>h4487</a>	מְנָה	me.nah	to reckon/appoint	A:V	 to number, reckon 1a) (P'al) to number 1b) (Pael) to appoint
4484	in Aramaic of <a href='/Strongs/strongs-h4488' onclick='return ABMM("/Strongs","/strongs-h4488");'>h4488</a>	מְנֵא	me.ne	mina	A:N-M	 (P'al) mina, maneh 1a) a weight or measurement; usually 50 shekels but maybe 60 shekels
4485		מַנְגִּינָה	man.gi.nah	mocking	H:N-F	mocking or derisive song
4486	in Aramaic of <a href='/Strongs/strongs-h4093' onclick='return ABMM("/Strongs","/strongs-h4093");'>h4093</a>	מַנְדַּע	man.da	knowledge	A:N-M	knowledge, power of knowing Aramaic of <i>mad.da</i> (מַדָּע "knowledge" <a href='/Strongs/strongs-h4093' onclick='return ABMM("/Strongs","/strongs-h4093");'>h4093</a>)
4487		מָנָה	ma.nah	to count	H:V	 to count, reckon, number, assign, tell, appoint, prepare 1a) (Qal) 1a1) to count, number 1a2) reckon, assign, appoint 1b) (Niphal) 1b1) to be counted, be numbered 1b2) to be reckoned, be assigned 1c) (Piel) to appoint, ordain 1d) (Pual) appointed (participle) Aramaic equivalent: <i>me.nah</i> (מְנָה "to reckon/appoint" <a href='/Strongs/strongs-h4483' onclick='return ABMM("/Strongs","/strongs-h4483");'>h4483</a>)
4488		מָנֶה	ma.neh	mina	H:N-M	 maneh, mina, pound 1a) 60 shekels and 1/50 talent (of silver) 1a1) 1/60 talent in early Babylonian standard 1b) 100 shekels and 1/100 talent (of gold) Aramaic equivalent: <i>me.ne</i> (מְנֵא "mina" <a href='/Strongs/strongs-h4484' onclick='return ABMM("/Strongs","/strongs-h4484");'>h4484</a>)
4489		מֹנֶה	mo.neh	time	H:N-M	something weighed out, counted number, time Aramaic equivalent: <i>min.yan</i> (מִנְיָן "number" <a href='/Strongs/strongs-h4510' onclick='return ABMM("/Strongs","/strongs-h4510");'>h4510</a>)
4490		מָנָה	ma.nah	portion	H:N-F	part, portion
4491		מִנְהָג	min.hag	driving	H:N-M	driving, charioteering
4492		מִנְהָרָה	min.ha.rah	cave	H:N-F	 crevices, ravines, mountain clefts, den, dugout holes 1a) meaning uncertain
4493		מָנוֹד	ma.nod	shaking	H:N-M	shaking, wagging
4494		מָנוֹחַ	ma.no.ach	resting	H:N-M	 resting place, state or condition of rest, place 1a) resting place 1b) rest, repose, condition of rest 1c) coming to rest
4495		מָנוֹחַ	ma.no.ach	Manoah	N:N-M-P	A man living before Israel's Monarchy, first mentioned at Jdg.13.2; father of: Samson (<a href='/Strongs/strongs-h8123' onclick='return ABMM("/Strongs","/strongs-h8123");'>h8123</a>) § Manoah = "rest" a Danite, father of the judge Samson and inhabitant of Zorah
4496G	a Name of <a href='/Strongs/strongs-h4506A' onclick='return ABMM("/Strongs","/strongs-h4506A");'>h4506A</a>	מְנוּחָה	me.nu.chah	Nohah	H:N-F	This name means rest, resting place Another name of <i>ma.na.chat</i> (מָנַ֫חַת "Manahath" <a href='/Strongs/strongs-h4506A' onclick='return ABMM("/Strongs","/strongs-h4506A");'>h4506A</a>)
4496H		מְנוּחָה	me.nu.chah	resting	H:N-F	 resting place, rest 1a) resting place 1b) rest, quietness Also means: <i>nu.ach</i> (נוּחַ "rest" <a href='/Strongs/strongs-h5118' onclick='return ABMM("/Strongs","/strongs-h5118");'>h5118</a>)
4497		מָנוֹן	ma.non	progeny	H:N-M	 grief, progeny, thankless one 1a) meaning uncertain
4498		מָנוֹס	ma.nos	refuge	H:N-M	 flight, refuge, place of escape 1a) flight 1b) refuge, place of escape
4499		מְנוּסָה	me.nu.sah	fugitive	H:N-F	flight, retreat
4500		מָנוֹר	ma.nor	loom-beam	H:N-M	 beam 1a) beam (carrying the heddles in a loom)
4501		מְנוֹרָה	me.no.rah	lampstand	H:N-F	lamp stand
4502		מִנְזָר	min.n.zar	prince	H:N-M	 princes, anointed ones, consecrated ones 1a) meaning uncertain
4503G		מִנְחָה	min.chah	offering	H:N-F	offering/sacrifice gift, tribute, offering, present, oblation, sacrifice, meat offering 1a) gift, present 1b) tribute 1c) offering (to God) 1d) grain offering
4503H	a Meaning of <a href='/Strongs/strongs-h4503G' onclick='return ABMM("/Strongs","/strongs-h4503G");'>h4503G</a>	מִנְחָה	min.chah	offering: gift	H:N-F	gift gift, tribute, offering, present, oblation, sacrifice, meat offering 1a) gift, present 1b) tribute 1c) offering (to God) 1d) grain offering
4503I	a Meaning of <a href='/Strongs/strongs-h4503G' onclick='return ABMM("/Strongs","/strongs-h4503G");'>h4503G</a>	מִנְחָה	min.chah	offering: tribute	H:N-F	tribute gift, tribute, offering, present, oblation, sacrifice, meat offering 1a) gift, present 1b) tribute 1c) offering (to God) 1d) grain offering
4504	in Aramaic of <a href='/Strongs/strongs-h4503G' onclick='return ABMM("/Strongs","/strongs-h4503G");'>h4503G</a>	מִנְחָה	min.chah	offering	A:N-F	 gift, offering 1a) oblation, offering (to God through representative) 1b) meal offering
4505		מְנַחֵם	me.na.chem	Menahem	N:N-M-P	A king of the Kingdom of Israel, living at the time of Divided Monarchy, first mentioned at 2Ki.15.14; son of: Gadi (<a href='/Strongs/strongs-h1424' onclick='return ABMM("/Strongs","/strongs-h1424");'>h1424</a>); father of: Pekahiah (<a href='/Strongs/strongs-h6494' onclick='return ABMM("/Strongs","/strongs-h6494");'>h6494</a>) § Menahem = "comforter" son of Gadi and king of the northern kingdom of Israel; slew the usurper Shallum to ascend the throne and reigned for ten years; contemporary with prophets Hosea and Amos
4506A		מָנַ֫חַת	ma.na.chat	Manahath	N:N--L	Manahath = "rest" a place in Benjamin Also named: <i>me.nu.chah</i> (מְנוּחָה "Nohah" <a href='/Strongs/strongs-h4496' onclick='return ABMM("/Strongs","/strongs-h4496");'>h4496</a>)
4506B		מָנַ֫חַת	ma.na.chat	Manahath	N:N-M-P	A man living at the time of the Patriarchs, first mentioned at Gen.36.23; son of: Shobal (<a href='/Strongs/strongs-h7732' onclick='return ABMM("/Strongs","/strongs-h7732");'>h7732</a>); brother of: Alvan (<a href='/Strongs/strongs-h5935' onclick='return ABMM("/Strongs","/strongs-h5935");'>h5935</a>), Ebal (<a href='/Strongs/strongs-h5858B' onclick='return ABMM("/Strongs","/strongs-h5858B");'>h5858B</a>), Shepho (<a href='/Strongs/strongs-h8195' onclick='return ABMM("/Strongs","/strongs-h8195");'>h8195</a>) and Onam (<a href='/Strongs/strongs-h208' onclick='return ABMM("/Strongs","/strongs-h208");'>h208</a>) Also named: <i>ma.na.chat</i> (מָנַ֫חַת "Manahathite" <a href='/Strongs/strongs-h4506' onclick='return ABMM("/Strongs","/strongs-h4506");'>h4506</a>) § Manahath = "rest" son of Shobal and a descendant of Seir the Horite
4506G	a group of <a href='/Strongs/strongs-h4506B' onclick='return ABMM("/Strongs","/strongs-h4506B");'>h4506B</a>	מָנַ֫חַת	ma.na.chat	Manahathite	N:N--L	People descended from Manahath, a man living at the time of the Patriarchs, first mentioned at Gen.36.23; son of: Shobal (<a href='/Strongs/strongs-h7732' onclick='return ABMM("/Strongs","/strongs-h7732");'>h7732</a>); brother of: Alvan (<a href='/Strongs/strongs-h5935' onclick='return ABMM("/Strongs","/strongs-h5935");'>h5935</a>), Ebal (<a href='/Strongs/strongs-h5858B' onclick='return ABMM("/Strongs","/strongs-h5858B");'>h5858B</a>), Shepho (<a href='/Strongs/strongs-h8195' onclick='return ABMM("/Strongs","/strongs-h8195");'>h8195</a>) and Onam (<a href='/Strongs/strongs-h208' onclick='return ABMM("/Strongs","/strongs-h208");'>h208</a>) Group of <i>ma.na.chat</i> (מָנַ֫חַת "Manahath" <a href='/Strongs/strongs-h4506B' onclick='return ABMM("/Strongs","/strongs-h4506B");'>h4506B</a>) § Manahath = "rest" son of Shobal and a descendant of Seir the Horite
4506H		מָנַ֫חַת	ma.na.chat	Menuhoth	N:N--L	People descended from Menuh, only mentioned at 1Ch.2.52 § Manahath = "rest" son of Shobal and a descendant of Seir the Horite
4507		מְנִי	me.ni	Destiny	N:N-M-T	§ Meni = "fate" or "fortune" god of fate who the Jews worshipped in Babylonia
4508		מִנִּי	min.ni	Minni	N:N--L	§ Minni = "division" a region in Armenia
4509G		מִנְיָמִין	min.ya.min	Miniamin	N:N-M-P	A man living at the time of Divided Monarchy, only mentioned at 2Ch.31.15 § Miniamin = "from the right hand" 1) a Levite in the time of Hezekiah 2) a priest who was present at the dedication of the wall of Jerusalem in the time of Nehemiah
4509H		מִנְיָמִין	min.ya.min	Miniamin	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Neh.12.41 § Miniamin = "from the right hand" 1) a Levite in the time of Hezekiah 2) a priest who was present at the dedication of the wall of Jerusalem in the time of Nehemiah
4509I	a Name of <a href='/Strongs/strongs-h4326I' onclick='return ABMM("/Strongs","/strongs-h4326I");'>h4326I</a>	מִנְיָמִין	min.ya.min	Miniamin	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Neh.10.7; also called Miniamin at Neh.12.17; Another name of <i>miy.ya.min</i> (מִיָּמִן "Mijamin" <a href='/Strongs/strongs-h4326I' onclick='return ABMM("/Strongs","/strongs-h4326I");'>h4326I</a>) § Miniamin = "from the right hand" 1) a Levite in the time of Hezekiah 2) a priest who was present at the dedication of the wall of Jerusalem in the time of Nehemiah
4510	in Aramaic of <a href='/Strongs/strongs-h4489' onclick='return ABMM("/Strongs","/strongs-h4489");'>h4489</a>	מִנְיָן	min.yan	number	A:N-M	number Aramaic of <i>mo.neh</i> (מֹנֶה "time" <a href='/Strongs/strongs-h4489' onclick='return ABMM("/Strongs","/strongs-h4489");'>h4489</a>)
4511		מִנִּית	min.nit	Minnith	N:N--L	§ Minnith = "distribution" a place east of the Jordan in Ammonite territory
4512		מִנְלֶה	min.leh	gain	H:N-M	 gain, wealth, acquisition 1a) meaning uncertain
4513		מָנַע	ma.na	to withhold	H:V	 to withhold, hold back, keep back, refrain, deny, keep restrain, hinder 1a) (Qal) to withhold 1b) (Niphal) to be withheld
4514		מַנְעוּל	man.ul	bolt	H:N-M	bolt
4515		מִנְעָל	min.al	bolt	H:N-M	shoe
4516		מַנְעַמִּים	man.am	delicacy	H:N-M	delicacies, dainties
4517		מְנַעֲנֵעַ	me.na.na	castanets	H:N-M	 a kind of rattle 1a) a kind of rattle used as a musical instrument
4518		מְנַקִּיָּה	me.naq.qiy.yah	bowl	H:N-F	sacrificial bowl or cup
4519G		מְנַשֶּׁה	me.nash.sheh	Manasseh	N:N-M-P	A man of the tribe of Manasseh living at the time of the Patriarchs, first mentioned at Gen.41.51; son of: Joseph (<a href='/Strongs/strongs-h3130' onclick='return ABMM("/Strongs","/strongs-h3130");'>h3130</a>) and Asenath (<a href='/Strongs/strongs-h621' onclick='return ABMM("/Strongs","/strongs-h621");'>h621</a>); brother of: Ephraim (<a href='/Strongs/strongs-h669' onclick='return ABMM("/Strongs","/strongs-h669");'>h669</a>); married to Aramitess (<a href='/Strongs/strongs-h761' onclick='return ABMM("/Strongs","/strongs-h761");'>h761</a>); father of: Machir (<a href='/Strongs/strongs-h4353' onclick='return ABMM("/Strongs","/strongs-h4353");'>h4353</a>) and Asriel (<a href='/Strongs/strongs-h844H' onclick='return ABMM("/Strongs","/strongs-h844H");'>h844H</a>) § Manasseh = "causing to forget" 1) the eldest son of Joseph and progenitor of the tribe of Manasseh 1a) the tribe descended from Manasseh 1b) the territory occupied by the tribe of Manasseh 2) son of king Hezekiah of Judah and himself king of Judah; he was the immediate and direct cause for the exile 3) a descendant of Pahath-moab who put away a foreign wife in the time of Ezra 4) a descendant of Hashum who put away a foreign wife in the time of Ezra
4519H		מְנַשֶּׁה	me.nash.sheh	Manasseh	N:N-M-P	A king of the tribe of Judah living at the time of Divided Monarchy, first mentioned at 2Ki.20.21; son of: Hezekiah (<a href='/Strongs/strongs-h2396' onclick='return ABMM("/Strongs","/strongs-h2396");'>h2396</a>) and Hephzibah (<a href='/Strongs/strongs-h2657' onclick='return ABMM("/Strongs","/strongs-h2657");'>h2657</a>); married to Meshullemeth (<a href='/Strongs/strongs-h4922' onclick='return ABMM("/Strongs","/strongs-h4922");'>h4922</a>); father of: Amon (<a href='/Strongs/strongs-h526H' onclick='return ABMM("/Strongs","/strongs-h526H");'>h526H</a>) Also named: <i>Manassēs</i> (Μανασσῆς "Manasseh" <a href='/Strongs/strongs-g3128H' onclick='return ABMM("/Strongs","/strongs-g3128H");'>g3128H</a>) § Manasseh = "causing to forget" 1) the eldest son of Joseph and progenitor of the tribe of Manasseh 1a) the tribe descended from Manasseh 1b) the territory occupied by the tribe of Manasseh 2) son of king Hezekiah of Judah and himself king of Judah; he was the immediate and direct cause for the exile 3) a descendant of Pahath-moab who put away a foreign wife in the time of Ezra 4) a descendant of Hashum who put away a foreign wife in the time of Ezra
4519I		מְנַשֶּׁה	me.nash.sheh	Manasseh	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Ezr.10.30 § Manasseh = "causing to forget" 1) the eldest son of Joseph and progenitor of the tribe of Manasseh 1a) the tribe descended from Manasseh 1b) the territory occupied by the tribe of Manasseh 2) son of king Hezekiah of Judah and himself king of Judah; he was the immediate and direct cause for the exile 3) a descendant of Pahath-moab who put away a foreign wife in the time of Ezra 4) a descendant of Hashum who put away a foreign wife in the time of Ezra
4519J		מְנַשֶּׁה	me.nash.sheh	Manasseh	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Ezr.10.33 § Manasseh = "causing to forget" 1) the eldest son of Joseph and progenitor of the tribe of Manasseh 1a) the tribe descended from Manasseh 1b) the territory occupied by the tribe of Manasseh 2) son of king Hezekiah of Judah and himself king of Judah; he was the immediate and direct cause for the exile 3) a descendant of Pahath-moab who put away a foreign wife in the time of Ezra 4) a descendant of Hashum who put away a foreign wife in the time of Ezra
4519K	a Name of <a href='/Strongs/strongs-h4872' onclick='return ABMM("/Strongs","/strongs-h4872");'>h4872</a>	מְנַשֶּׁה	me.nash.sheh	Moses	N:N-M-P	A man of the tribe of Levi living at the time of Egypt and Wilderness, first mentioned at Exo.2.10; son of: Amram (<a href='/Strongs/strongs-h6019' onclick='return ABMM("/Strongs","/strongs-h6019");'>h6019</a>) and Jochebed (<a href='/Strongs/strongs-h3115' onclick='return ABMM("/Strongs","/strongs-h3115");'>h3115</a>); brother of: Aaron (<a href='/Strongs/strongs-h175' onclick='return ABMM("/Strongs","/strongs-h175");'>h175</a>) and Miriam (<a href='/Strongs/strongs-h4813' onclick='return ABMM("/Strongs","/strongs-h4813");'>h4813</a>); married to Zipporah (<a href='/Strongs/strongs-h6855' onclick='return ABMM("/Strongs","/strongs-h6855");'>h6855</a>); father of: Gershom (<a href='/Strongs/strongs-h1647' onclick='return ABMM("/Strongs","/strongs-h1647");'>h1647</a>) and Eliezer (<a href='/Strongs/strongs-h461H' onclick='return ABMM("/Strongs","/strongs-h461H");'>h461H</a>); also called Manasseh at Jdg.18.30 Another name of <i>mo.sheh</i> (מֹשֶׁה "Moses" <a href='/Strongs/strongs-h4872' onclick='return ABMM("/Strongs","/strongs-h4872");'>h4872</a>) § Manasseh = "causing to forget" 1) the eldest son of Joseph and progenitor of the tribe of Manasseh 1a) the tribe descended from Manasseh 1b) the territory occupied by the tribe of Manasseh 2) son of king Hezekiah of Judah and himself king of Judah; he was the immediate and direct cause for the exile 3) a descendant of Pahath-moab who put away a foreign wife in the time of Ezra 4) a descendant of Hashum who put away a foreign wife in the time of Ezra
4520	a group of <a href='/Strongs/strongs-h4519G' onclick='return ABMM("/Strongs","/strongs-h4519G");'>h4519G</a>	מְנַשִּׁי	me.nash.shi	Manassite	N:N--PG	Someone from the tribe of Manasseh living at the time of the Patriarchs, first mentioned at Gen.41.51; son of: Joseph (<a href='/Strongs/strongs-h3130' onclick='return ABMM("/Strongs","/strongs-h3130");'>h3130</a>) and Asenath (<a href='/Strongs/strongs-h621' onclick='return ABMM("/Strongs","/strongs-h621");'>h621</a>); brother of: Ephraim (<a href='/Strongs/strongs-h669' onclick='return ABMM("/Strongs","/strongs-h669");'>h669</a>); married to Aramitess (<a href='/Strongs/strongs-h761' onclick='return ABMM("/Strongs","/strongs-h761");'>h761</a>); father of: Machir (<a href='/Strongs/strongs-h4353' onclick='return ABMM("/Strongs","/strongs-h4353");'>h4353</a>) and Asriel (<a href='/Strongs/strongs-h844H' onclick='return ABMM("/Strongs","/strongs-h844H");'>h844H</a>) Group of <i>me.nash.sheh</i> (מְנַשֶּׁה "Manasseh" <a href='/Strongs/strongs-h4519' onclick='return ABMM("/Strongs","/strongs-h4519");'>h4519</a>) § Manassites = Manasseh "causing to forget" descendants of Manasseh, son of Joseph and grandson of Jacob 1a) specifically used only of that half that lived east of the Jordan
4521		מְנָת	me.nat	portion	H:N-F	portion
4522		מַס	mas	taskworker	H:N-M	 gang or body of forced labourers, task-workers, labour band or gang, forced service, task-work, serfdom, tributary, tribute, levy, taskmasters, discomfited 1a) labour-band, labour-gang, slave gang 1b) gang-overseers 1c) forced service, serfdom, tribute, enforced payment
4523		מָס	mas	despairing	H:A	despairing
4524		מֵסַב	me.sav	surrounds	H:N-M	 round thing, surroundings, round about, that which surrounds, that which is round 1a) environs 1a1) surrounding places 1a2) round about (adv) 1b) round table
4525		מַסְגֵּר	mas.ger	locksmith	H:N-M	 a shutting up, locksmith, smith, dungeon, enclosure, builder of bulwarks 1a) locksmith, smith 1b) dungeon
4526		מִסְגֶּ֫רֶת	mis.ge.ret	perimeter	H:N-F	 border, fastness, rim 1a) border, rim 1b) fastness
4527		מַסַּד	mas.sad	foundation	H:N-M	foundation
4528		מִסְדְּרוֹן	mis.de.ron	porch	H:N-M	 porch, colonnade 1a) meaning uncertain
4529		מָסָה	ma.sah	to liquefy	H:V	 to melt, dissolve, be liquefied 1a) (Hiphil) 1a1) to melt, cause to dissolve, consume, cause to vanish 1a2) to intimidate (fig)
4530		מִסַּת	mis.sah	payment	H:N	 sufficient, sufficiency 1a) sufficiency, enough 1b) full amount or proportion (affordable)
4531A		מַסָּה	mas.sah	despair	H:N-F	despair
4531B		מַסָּה	mas.sah	trial	H:N-F	testing, proving, trial
4532		מַסָּה	mas.sah	Massah	N:N--L	§ Massah = "temptation" the place in the wilderness where the Israelites tested Jehovah also 'Meribah'
4533		מַסְוֶה	mas.veh	veil	H:N-M	veil
4534		מְסוּכָה	me.su.khah	hedge	H:N-F	hedge
4535		מַסָּח	mas.sach	defense	H:N-M	 meaning uncertain-perhaps n 1a) guard adv 1b) alternately, by turns
4536		מִסְחָר	mis.char	merchandise	H:N-M	 merchandise 1a) (BDB) merchandise; meaning doubtful
