# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 3873620     
# File Date: 06/01/2026 18:32:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS	Strong's number with extensions
#	WORD	Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#	STRONGU	Unified Strong's entry and explanation
#	DEF		Definition, lexical entry.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
6074		προπάτωρ	propatōr	ancestor	G:N-M	<b>the first founder of a family, forefather </b>, (Herdotus Historicus);in <i>plural</i> <b>ancestors, forefathers </b>, (Herdotus Historicus), etc; ὦ Ζεῦ, προγόνων προπάτωρ (Sophocles Tragicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6075		προσαίτης	prosaitēs	a beggar	G:N-M	<b>προσαίτης</b>, -ου, ὁ, <b>a beggar</b>: Mrk.10:46, Jhn.9:8. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6076		προσκλίνω	prosklinō	to lean toward	G:V	<b>προσ-κλίνω </b> [in LXX: 2Ma.14:24 *;] 1) to make to lean against. 2) <b>to make the scale incline one way or another</b>; hence, metaphorically, of persons, to incline (sc. ἑαυτόν) towards: pass, Act.5:36. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6077		Πύρρος	Purros	Pyrrhus	N:N-M-P	A man living at the time of the New Testament, only mentioned at Act.20.4; father of: Sopater (<a href='/Strongs/strongs-g4986' onclick='return ABMM("/Strongs","/strongs-g4986");'>g4986</a>) § Pyrrhus (the name of Sopater of Boroeas's father) See also πυρρός (<a href='/Strongs/strongs-g4450' onclick='return ABMM("/Strongs","/strongs-g4450");'>g4450</a>)
6078		πρώτως	prōtōs	originally	G:ADV	first, originally Some manuscripts list πρῶτον (<a href='/Strongs/strongs-g4412' onclick='return ABMM("/Strongs","/strongs-g4412");'>g4412</a>) in place of <a href='/Strongs/strongs-g6078' onclick='return ABMM("/Strongs","/strongs-g6078");'>g6078</a> at Act.11.26
6079		σιτίον	sition	food	G:N-N	1. <b>grain, corn: food made from grain, bread </b>, ποιεῖσθαι σιτία ἀπὸ ὀλυρέων to feed off spelt, (Herdotus Historicus) 2. generally, <b>food, victuals, provisions </b>, (Herdotus Historicus); σιτία ἡμερῶν τριῶν three days' <b>provision </b>, of soldiers, (Aristophanes Comicus); σιτία καὶ ποτά <b>meat </b> and drink, (Plato Philosophus) 3. τἀν Πρυτανείῳ σιτία public <b>maintenance </b> in the Prytaneum, (Aristophanes Comicus); compare σίτησις. 4. rarely <b>food </b> for dogs, (Xenophon Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6080		συγγενίς	sungenis	relative	G:N-F	<b>συγγενίς</b>, -ίδος, ἡ, late fem. form of σνγγενής, which see, <b>a kinswoman</b>: Luk.1:36. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6081		συμπίπτω	sumpiptō	be downcast	G:V	1. <b>to fall together, meet in battle, come to blows </b>, Lat. <i>concurrere</i>, (Homer): ς. ἐς νείκεα (Herdotus Historicus): <b>to encounter </b>, κλύδωνι (Euripides); νηί (Thucydides) 2. generally, <b>to fall in with, meet with </b> accidents, misfortunes, with <i>dative</i>, (Herdotus Historicus) 3. of ailments, events, <b>to fall upon, happen to </b>, with <i>dative</i> pers, (Aeschulus Tragicus); also ἔς τινα (Herdotus Historicus) 4. <i>absolute</i> <b>to happen </b> or <b>fall out at the same time, concur </b>, (Herdotus Historicus) 5. with part, like τυγχάνω, τόδε συνέπεσε γενόμενον (Herdotus Historicus) 6. <i>impersonal</i>, συνέπεσε, <b>it happened, fell out, came to pass </b>, with <i>infinitive</i>, (Herdotus Historicus); ξυνέπεσεν εἰς τοῦτο ἀνάγκης ὥστε. matters came to such a pass that, (Thucydides); or with <i>accusative</i> et <i>infinitive</i>, (Thucydides) 7. <b>to coincide, agree </b> or <b>be in accordance with </b>, τινί (Herdotus Historicus): <i>absolute</i> <b>to agree exactly </b>, (Herdotus Historicus); ἐμοὶ σὺ συμπέπτωκας ἐς ταὐτὸν λόγου <b>have come to exactly </b> the same point with me, (Euripides) 8. <b>to fall together </b>, i. e. <b>fall in, collapse </b>, of a house, Lat. <i>concidere</i>, (Euripides); σῶμα συμπεσόν a frame <b>having collapsed </b> from disease, (Plato Philosophus) 9. συμπίτνω <i>poetry</i> for συμπίπτω, when the <i>penultimate</i> is to be short 10. <b>to fall </b> or <b>dash together </b>, of waves, (Aeschulus Tragicus) 11. <b>to concur </b>, (Aeschulus Tragicus); with <i>dative</i>, (Euripides) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6083	a Spelling of <a href='/Strongs/strongs-g4894' onclick='return ABMM("/Strongs","/strongs-g4894");'>g4894</a>	σύνοιδα	sunoida	be conscious of	G:V	<b>ύν-οιδα </b>, pf. with Pres. meaning (see: οἶδα), [in LXX: Lev.5:1 (יָדַע), Job.27:6; ptcp, 1Ma.4:21 A, 2Ma.4:41 A, 3Ma.2:8 R *;] 1) <b>to share the knowledge of, be privy to </b>(Hdt, Thuc, al.): ptcp, Act.5:2. 2) C. prop. reflex, to be conscious of (Eur, Plat, al.), esp. of guilty consciousness: οὐδὲν γὰρ ἐμαυτῷ σ, for I know nothing against myself, 1Co.4:4. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6084	a Name of <a href='/Strongs/strongs-g2459G' onclick='return ABMM("/Strongs","/strongs-g2459G");'>g2459G</a>	Τιτίος	Titios	Titius	N:N-M-P	<b>Τίτιος</b>, -ου, ὁ, <b>Titius, surnamed Justus</b>: Act.18:7, T, WH (RV, Τίτος). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6085		τρῆμα	trēma	hole	G:N-N	<b>τρῆμα</b>, -τος, τό, <b>a perforation, hole</b>: ῥαφίδος, Mat.19:24, WH, txt. βελόνης, Luk.18:25 (Aristoph, Plat, al.). <i>SYN.</i>: τρυμαλιά, τρύπημα (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6087	a Combination of <a href='/Strongs/strongs-g4053' onclick='return ABMM("/Strongs","/strongs-g4053");'>g4053</a>	ὑπερεκπερισσοῦ	huperekperissou	super overexcessively	G:ADV	<b>εκ-περισσῶς</b>, <i>adv.</i>, <b>more exceedingly</b>: Mrk.14:31 (of. ὑπερπερ-). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6088	a Combination of <a href='/Strongs/strongs-g3029' onclick='return ABMM("/Strongs","/strongs-g3029");'>g3029</a>	ὑπερλίαν	huperlian	greatly	G:ADV	<b>ὑπερλίαν</b> (Rec. ὑπὲρ λίαν, see WM, § 50, 7n; B1, § 4, 1), <i>adv.</i>, <b>exceedingly, pre-eminently</b>: 2Co.11:5 12:11. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6090		ὠτάριον	ōtarion	ear	G:N-N	<b>ὠτάριον</b>, -ου, τό = ὠτίον (which see), <b>the ear</b>: Mrk.14:47, Jhn.18:10. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6091		δύσις	dusis	sunset	G:N-F	<b>δύσις</b>, -εως, ἡ (δύνω), [in LXX: Psa.104:19 (מָבוֹא) *;] 1) <b>a sinking, setting</b>, as of the sun (Æsch.): Mrk.16:1-20 [alt. ending]. 2) <b>the sun-setting, the west</b> (Thuc.). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6092		ἐκβαίνω	ekbainō	to go out	G:V	<b>ἐκ-βαίνω</b>, [in LXX for עָלֶה;] <b>to go out</b>: Heb.11:15. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6093		σιρός	siros	pit	G:N-M	<b>σιρός</b>, see: σειρός. <b>σειρός</b> (σιρός, T), -οῦ, ὁ (Rec, R, mg, σειρά, which see), = cl. σιρός, <b>a pit</b> for the storage of grain: σειροὶ ζόφου, 2Pe.2:4, WH, R, txt. (but see Mayor, in l; Field, <i>Notes</i>, 241). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6094		αὐχέω	aucheō	to boast	G:V	<b>αὐχέω</b>, -ῶ, (αὔχη, boasting), <b>to boast</b>: with accusative (MM, see word), μεγάλα αὐχεῖ (Rec. μεγαλαυχεῖ, which see), Jas.3:5. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6095	a Name of <a href='/Strongs/strongs-h7410G' onclick='return ABMM("/Strongs","/strongs-h7410G");'>h7410G</a>	Ἀρνὶ	Arni	Arni		A man of the tribe of Judah living at the time of United Monarchy, first mentioned at Rut.4.19; son of: Hezron (<a href='/Strongs/strongs-h2696H' onclick='return ABMM("/Strongs","/strongs-h2696H");'>h2696H</a>); brother of: Jerahmeel (<a href='/Strongs/strongs-h3396' onclick='return ABMM("/Strongs","/strongs-h3396");'>h3396</a>), Caleb (<a href='/Strongs/strongs-h3612H' onclick='return ABMM("/Strongs","/strongs-h3612H");'>h3612H</a>), Segub (<a href='/Strongs/strongs-h7687H' onclick='return ABMM("/Strongs","/strongs-h7687H");'>h7687H</a>) and Ashhur (<a href='/Strongs/strongs-h806' onclick='return ABMM("/Strongs","/strongs-h806");'>h806</a>); father of: Amminadab (<a href='/Strongs/strongs-h5992' onclick='return ABMM("/Strongs","/strongs-h5992");'>h5992</a>); also called Admin (KJV: Aram) at Luk.3.33; § Arni (Proper name)
6096		ἀποπληρόω	apoplēroō	to satisfy	G:V	satisfy or meet (requirements) GAL.6:2 (Variant - P46)
6097		θρύπτω	thruptō	to break	G:V	break in pieces (1Co.11:24 variant D*)
6098		καταπίμπρημι	katapimprēmi	burnt		burn to ashes, destroy by fire (2PE.2:6 - variant P72*)
6099		ξαίνω	xainō	to comb		comb, clean (of wool; MAT.6:28 - variant א*)
6100		ἀβασίλευτος	abasileutos	independent	G:A	<b>not ruled by a king </b>, (Thucydides) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6101		ἄβατος	abatos	impassable	G:A	1. <b>untrodden, impassable, inaccessible </b>, of mountains, (Herdotus Historicus), etc; of a river, <b>not fordable </b>, (Xenophon Historicus) 2. of holy places, <b>not to be trodden </b>, like ἄθικτος, (Sophocles Tragicus): <i>metaphorically</i> <b>pure, chaste </b>, ψυχή (Plato Philosophus) 3. of horses, <b>not ridden </b>, (Lucian) 4. <i>active</i>, ἄβ. πόνος a plague <b>that hinders walking </b>, i.e. gout, (Lucian) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6102		ἀβατόω	abatoō	to make impassable	G:V	to make impassable
6103		ἀβοήθητος	aboēthētos	incurable	G:A	incurable
6104		ἀβουλία	aboulia	thoughtlessness	G:N-F	<b>want of counsel, thoughtlessness </b>, (Herdotus Historicus), etc. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6105		ἅβρα	habra	handmaiden	G:N-F	handmaiden
6106		ἀβροχία	abrochia	drought	G:N-F	drought
6107		ἀγαθόω	agathoō	to do good	G:V	to do good
6108		ἀγαθύνω	agathunō	be better	G:V	be better; do good
6109		ἀγαθῶς	agathōs	fine	G:A	fine
6110		ἀγαλλίαμα	agalliama	a leap for joy	G:N-N	a leap for joy
6111		ἄγαλμα	agalma	a statue	G:N-N	1. <b>a glory, delight, honour </b>, (Iliad by Homer), attic; ἀγάλματ᾽ ἀγορᾶς <b>mere ornaments </b> of the agora, (Euripides) 2. <b>a pleasing gift </b>, especially for the gods, (Odyssey by Homer) 3. <b>a statue in honour of a god </b>, (Herdotus Historicus), attic; <b>an image </b>, as an object of worship, etc, (Aeschulus Tragicus); then generally,= ἀνδριάς, <b>any statue </b>, (Plato Philosophus): also <b>a portrait, picture </b>, ἐξαλειφθεῖς᾽ ὡς ἄγαλμα (Euripides) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6112		αγανώθ	aganōth	cups		cups
6113		ἀγάπησις	agapēsis	affection	G:N-F	affection; love
6114		ἁγίασμα	hagiasma	sanctification	G:N-N	sanctification; sanctified; sanctuary
6115		ἁγιαστήριον	hagiastērion	sanctuary	G:N-N	sanctuary
6116		ἀγκαλίς	agkalis	an arm	G:N-F	an arm
6117		ἀγκύλη	agkulē	a loop	G:N-F	1. <b>a loop </b> or <b>noose </b> in a cord,Eur, (Xenophon Historicus) 2. <b>the thong of a javelin </b>, by which it was hurled: <b>the javelin </b> itself, (Euripides) 3. <b>a bow-string </b>, (Sophocles Tragicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6118		ἀγκών	agkōn	an angle	G:N-M	1. <b>the bend of the arm, the elbow </b>, (Homer) 2. generally <b>the arm </b>, like ἀγκάλη, (Pindar) 3. <b>any bend </b>, as the <b>jutting angle </b> of a wall, (Iliad by Homer): <b>the bend </b> or <b>reach </b> of a river, (Herdotus Historicus); ἕσπεροι ἄγκωνες, in (Sophocles Tragicus), seem to be the <b>angle </b> of the bay of Rhoeteium. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6119		ἀγκωνίσκος	agkōniskos	a joint	G:N-M	a joint, fastening
6120		ἅγνισμα	hagnisma	purification	G:N-N	<b>a purification, expiation </b>, (Aeschulus Tragicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6121		ἄγνος	agnos	pure	G:N-M	pure, innocent, blameless
6122		ἄγονος	agonos	barren	G:N-M	1. <i>passive</i> <b>unborn </b>, (Iliad by Homer): <b>not yet born </b>, (Euripides) 2. <i>active</i> <b>not producing, unfruitful, barren </b>; τόκοισιν ἀγόνοις travail <b>without issue, bringing no children to the birth </b>, (Sophocles Tragicus), etc. 3. with <i>genitive</i> <b>not productive of, barren in </b> a thing, (Plato Philosophus) 4. <b>childless </b>, (Euripides) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6123		ἀγορασμός	agorasmos	a purchase	G:N-M	a purchase
6124		ἀγριαίνω	agriainō	be wild	G:V	1. <i>intransitive</i> <b>to be angered, provoked, chafed </b>, (Plato Philosophus); τινί <b>with </b> one, (Plato Philosophus); <i>metaphorically</i> of rivers, (Plutarch) 2. Causal, <b>to make angry </b>: Pass. <b>to be angered </b>, (Plutarch) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6125		ἀγριοβάλανος	agriobalanos	holm oak		holm oak
6126		ἀγριομυρίκη	agriomurikē	tamarisk	G:N-F	tamarisk
6127		ἄγροικος	agroikos	rugged	G:A	1. <b>of </b> or <b>in the country </b>, (Aristophanes Comicus), etc. 2. of men, <b>dwelling in the country, a countryman, rustic </b>, (Aristophanes Comicus); then, opposite to ἀστεῖος, <b>clownish, boorish, rude </b>, (Aristophanes Comicus); the character of the ἄγροικος is described by (Theophrastus Philosophus) 3. <i>adverb</i> -κως, (Aristophanes Comicus); <i>comparative</i> -οτέρως, (Plato Philosophus); but -ότερον, (Plato Philosophus) 4. of land, <b>rough, uncultivated </b>, (Thucydides) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6128		ἄγρωστις	agrōstis	wild grass	G:N-F	<i>Substantive</i> and <i>adjective</i>, (Sophocles Tragicus), <b>a grass that mules fed on </b>. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6129		ἀγχιστεία	agchisteia	right of inheritance	G:N-F	1. <b>nearness of kin </b>, (Plato Philosophus) 2. <b>rights of kin, right of inheritance </b>, (Aristophanes Comicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6130		ἀγχιστεύς	agchisteus	a relative	G:N	mostly in <i>plural</i> ἀγχιστεῖς, <b>closely akin </b>, of nations, (Herdotus Historicus): <b>next of kin </b>, (Lucian) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6131		ἀγχιστεύω	agchisteuō	to be kin	G:V	1. <b>to be next or near </b>, with <i>dative</i>, (Euripides) 2. <b>to be next of kin </b>, (Isaeus Orator) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6132		ἄγχω	agchō	to squeeze	G:V	<b>to compress, press tight </b>, especially the throat, <b>to strangle, throttle, choke </b>, ἄγχε μιν ἱμὰς ὑπὸ δειρήν (Iliad by Homer); τὸν Κέρβερον ἀπῇξας ἄγχων (Aristophanes Comicus): <i>metaphorically</i> of creditors, (Aristophanes Comicus); of a guilty conscience, τοῦτο ἄγχει (Demosthenes Orator) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6133		ἀδαμάντινος	adamantinos	adamantine	G:A	<b>adamantine </b>, (Aeschulus Tragicus), etc;<i>metaphorically</i> <b>hard as adamant </b>, σιδηροῖς καὶ ἀδαμαντίνοις λόγοις (Plato Philosophus); οὐκ ἀδ. ἐντί, of a girl, (Theocritus Poeta Bucolicus);<i>adverb</i> -νως, (Plato Philosophus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6134		ἀδάμας	adamas	adamant	G:N-M	1. properly <b>the untamed, unconquerable </b>: 2. as <i>Substantive</i> <b>adamant </b>, i. e. the hardest metal, probably <b>steel </b>: <i>metaphorically</i> of any thing <b>unalterable </b>, ἔπος ἐρέω ἀδάμαντι πελάσσας having fixed it <b>firm as adamant </b>, (Oracle quoted in Herdotus Historicus) 3. <b>the diamond </b>, (Theophrastus Philosophus) 4. as <i>adjective</i>, <i>metaphorically</i>, <b>the inflexible </b>, of Hades, (Theocritus Poeta Bucolicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6135		Ἄδαρ	Adar	Adar	N:N	Adar, 6th month of the civil calendar, 12 month of the religious calendar
6136		ἄδειπνος	adeipnos	supperless	G:A	<b>supperless </b>, (Xenophon Historicus), etc. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6137		ἀδελφιδός	adelphidos	a kinsman	G:N-M	a kinsman
6138		ἀδιάλυτος	adialutos	reinforced	G:A	<b>undissolved, indissoluble </b>, (Plato Philosophus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6139		ἀδολεσχέω	adolescheō	to meditate	G:V	<b>to talk idly, prate </b>, (Plato Philosophus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6140		ἀδολεσχία	adoleschia	meditation	G:N-F	<b>garrulity, idle talk </b>, (Aristophanes Comicus), etc; (Theophrastus Philosophus) wrote περὶ ἀδολεσχίας. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6141		ἀδοξέω	adoxeō	be despised	G:V	1. <b>to be held in no esteem, to stand in ill repute </b>, (Euripides) 2. <i>transitive</i> <b>to hold in no esteem </b>, τινα (Plutarch) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6142		ἁδρός	hadros	stout	G:A	1. in the primary sense it seems to mean <b>thick </b>: (akin to ἀδ-ινός, as κυδρός to κυδνός): 2. of things, χιόνα ἁδρὴν πίπτουσαν <b>falling thick </b>, (Herdotus Historicus); <b>strong </b>, <b>great </b> in any way, ἁδρὸς πόλεμος (Aristophanes Comicus) 3. of persons, <b>large, fine, well-grown </b>, (Herdotus Historicus); of animals, (Xenophon Historicus); of fruit or corn, <b>full-grown, ripe </b>, (Herdotus Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6143		ἁδρύνω	hadrunō	to mature	G:V	1. <b>to make ripe, ripen </b>, (Xenophon Historicus) 2. Pass. <b>to grow ripe, ripen </b>, of fruit or corn, (Herdotus Historicus), etc. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6144		ἀδυναμία	adunamia	powerlessness	G:N-F	1. <b>want of strength </b> or <b>power, inability, incapacity </b>, (Herdotus Historicus), etc; with <i>genitive</i>, ἀδ. τοῦ ἀδικεῖν <b>for </b> wrong-doing, (Plato Philosophus) 2. <b>poverty </b>, (Xenophon Historicus), etc. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6145		ἀέναος	aenaos	everlasting	G:A	1. <b>ever-flowing </b>, (Hesiod);rare in attic Prose, (Xenophon Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6146		ἀεργός	aergos	idle	G:A	<b>not-working, idle </b>, (Homer), etc; ἀεργοὶ δόμοι <b>idle </b> houses, i. e. <b>where people are idle </b>, (Theocritus Poeta Bucolicus);Cf. attic ἀργός. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6147		ἀηδία	aēdia	rancor	G:N-F	<b>ἀηδία</b>, -ας, ἡ (ἀ- neg, ἦδος, pleasure), [in LXX: Pr 2329 (שִׂיחַ)*;] 1) of things or persons, <b>unpleasantness, odiousness</b> (Hipp, Dem, al.); 2) <b>dislike</b> (Plat.), <b>disagreement</b> (MM, <i>VGT</i>, see word): Luk.23:12 D. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
6148		Αθανιν	Athanin	Athanim	N:N	Athanim or Ethanim, or Tishri; the first month of the civil calendar and seventh month of the religious calendar
6149		ἀθεσία	athesia	rebellion	G:N-F	rebellion
6150		ἀθέτημα	athetēma	a disregarding	G:N-N	a disregarding
6152		ἀθυμία	athumia	depression	G:N-F	<b>want of heart, faintheartedness </b>, (Herdotus Historicus), etc; εἰς ἀθυμίαν καθιστάναι τινά (Plato Philosophus); ἀθυμίαν παρέχειν τινί (Xenophon Historicus); ἐν ἀθυμίαι εἶναι (Xenophon Historicus); ἀθυμία ἐμπίπτει τινί (Xenophon Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6153		ἄθυτος	athutos	unfit	G:A	1. <b>not offered </b>, i. e. <b>neglected </b>, ἱερὰ ἄθ, Lat. <i>sacra inauspicata</i>, (Aeschines Orator) 2. <i>active</i> <b>without sacrificing </b>, ἄθυτος ἀπελθεῖν (Xenophon Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6154		ἀθῳόω	athōoō	to acquit	G:V	to acquit
6155		αιδέδ	aided	acclamation	G:N	acclamation; joyful shout
6156		αἰδέομαι	aideomai	to stand in awe	G:V	1. <b>to be ashamed to do </b> a thing, with <i>infinitive</i>, (Homer), etc; rarely with <i>participle</i>, αἴδεσαι μὲν πατέρα προλείπων <b>feel ashamed </b> of deserting him, (Sophocles Tragicus);<i>absolute</i>, αἰδεσθείς <b>from a sense of shame </b>, (Iliad by Homer) 2. with <i>accusative</i> pers. <b>to stand in awe of, fear, respect </b>, αἰδεῖο θεούς (Iliad by Homer), etc; and of things, αἴδεσσαι μέλαθρον <b>respect </b> the house, (Iliad by Homer); ὅρκον αἰδεσθείς (Sophocles Tragicus) 3. <b>to feel regard for </b> a person, μήδε τί μ᾽ αἰδόμενος μήδ᾽ ἐλεαίρων (Odyssey by Homer) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6157		αἰδοῖος	aidoios	genitals	G:A	1. of persons, <b>regarded with reverence, august, venerable </b>, and of women, <b>deserving respect, tender </b>, (Homer) 2. <i>active</i> <b>shamefaced, reverent </b>, (Odyssey by Homer);<i>adverb</i> -ως, <b>reverently </b>, (Odyssey by Homer) 3. <i>comparative</i> αἰδοιότερος, (Odyssey by Homer); Sup. αἰδοιέστατος, (Pindar) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6158		αἰθάλη	aithalē	soot	G:N-F	soot
6159		αἴθριος	aithrios	open air	G:A	<b>clear, bright, fair </b>, of weather, (Homeric Hymns); <i>epithet</i> of Ζεύς, (Theocritus Poeta Bucolicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6160		αιλ	ail	a portal	N:N	a portal
6161		αιλάμ	ailam	porch	N:N	porch; columned arch
6162		αιλαμμών	ailammōn	pediment	N:N	pediment
6163		αἱμωδιάω	ahimōdiaō	to have tooth-chills	G:V	to have tooth-chills
6164		αἰνετός	ainetos	praiseworthy	G:A	<b>praiseworthy </b>, [<a href="javascript:void(0)" title="Aristotle Philosopher">Refs 4th c.BC</a>, <i>variant</i> dates Anthology Palantina (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6165		αἴνη	ainē	praise		<b>praise, fame </b>, ἐν αἴνηι ἐών (Herdotus Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6166		αἰνιγματιστής	ainigmatistēs	enigma speaker	G:N-M	enigma speaker
6167		αἴξ	aix	a goat	G:N-M	1. <b>a goat </b>, Lat. <i>caper, capra</i>, (Homer) 2. αἲξ ἄγριος <b>the wild goat, the ibex </b>, (Homer) 3. αἶγες, old name for <b>waves </b>. Prob. not from ἀί̈σσω, of which the root is αικ. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6168		αἰπόλιον	aipolion	a flock of goats	G:N-N	1. <b>a herd of goats </b>, (Iliad by Homer), etc. 2. <b>a goat-pasture </b>, [<i>variant</i> dates Anthology Palantina (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6169		αἰπόλος	aipolos	a herder	G:N-M	a herder
6170		αἱρετός	ahiretos	preferred	G:A--C	1. <b>that may be taken </b> or <b>conquered </b>, (Herdotus Historicus); <b>that may be understood </b>, (Plato Philosophus) 2. (αἱρέομαι) <b>to be chosen, eligible </b>, (Plato Philosophus), etc; ζοῆς πονηρᾶς θάνατος αἱρετώτερος (Menander Comicus) 3. <b>chosen, elected </b>, (Plato Philosophus), etc. (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6171		αἰσθητικός	aisthētikos	sensitive	G:N-F	1. <b>of </b> or <b>for perception by the senses, perceptive </b>, (Plato Philosophus), etc;<i>adverb</i> αἰσθητικῶς ἔχειν to be <b>quick of perception </b>, (Aristotle Philosopher) 2. of things, <b>perceptible </b>, (Plutarch) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
6172		αἰσχρῶς	aischrōs	disgracefully	G:ADV	disgracefully
6173		αἴτησις	aitēsis	requesting	G:N-F	<b>a request, demand </b>, (Herdotus Historicus) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
